i;T_Z;k_f;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;0.5;1.25142214455484;1.22739547662081;1.05633270987457;0.539074403216153;0.788303517929993;1.21711903480683;-0.183623924851418;-0.554484963417053;0.0935372039675713;0.013886820524931;0.0235567223280668;0.101903311908245;0.898899734020233;0.0733684524893761;0.084891565144062;-0.00579719664528966;0.0389987379312515;0.0836662873625755;0.516684591770172;0.453516840934753;0.0868526175618172;-0.0190859660506248;0.0023646205663681;0.0985329821705818;0.860594689846039;-0.71400386095047;0.08549465239048;0.00144987599924207;-0.0118628991767764;0.136203557252884
1;0.3;0.5;1.25141177620578;1.22650902741574;1.05897698947083;0.53746600379198;0.79270273597852;1.22029339459929;-0.181841686367989;-0.552895486354828;0.106787256896496;0.00494399387389421;0.0140017103403807;0.121366798877716;0.899168014526367;0.0775404423475266;0.0932541713118553;-0.00949790701270103;0.0327956490218639;0.0806392952799797;0.516761362552643;0.455210745334625;0.0976498350501061;-0.0106570534408093;0.00592442555353045;0.106206171214581;0.864745080471039;-0.714414536952972;0.102826483547688;0.0052985530346632;-0.00159607175737619;0.154084354639053
2;0.3;0.5;1.2570117914478;1.2285736157642;1.06725434322807;0.531988255215723;0.798137000017673;1.22069282721832;-0.184822738170624;-0.553570985794067;0.117242760956287;-0.0641029700636864;-0.0155252944678068;0.0732126161456108;0.898206114768982;0.0844941735267639;0.100125297904015;-0.026224784553051;0.09756850451231;0.056758489459753;0.516563892364502;0.455116242170334;0.108322612941265;-0.0296735223382711;-0.028710026293993;0.0690545439720154;0.870432376861572;-0.713159441947937;0.119719758629799;0.0441231615841389;0.0299742314964533;0.149396970868111
3;0.3;0.5;1.27489424012393;1.22597208615534;1.0851315725882;0.517538065680898;0.808897233904814;1.21075163896378;-0.195714071393013;-0.560225963592529;0.123487085103989;-0.183123111724854;-0.100657880306244;0.0190474055707455;0.894849181175232;0.10009752959013;0.105630740523338;-0.0465307384729385;0.153300806879997;0.0313949175179005;0.507875919342041;0.443750470876694;0.111904099583626;-0.161383122205734;-0.186263054609299;-0.0186921041458845;0.879219055175781;-0.708648681640625;0.130835011601448;0.106370441615582;0.0789203643798828;0.125568762421608
4;0.3;0.5;1.29542011687275;1.21734989945831;1.10907136889654;0.499491952698558;0.811921440240285;1.1870633745976;-0.214109942317009;-0.577299535274506;0.12766470015049;-0.187517166137695;-0.21273772418499;0.0482318289577961;0.883242547512054;0.111126780509949;0.111132755875587;-0.173452466726303;0.0980946123600006;0.0699287354946137;0.488319754600525;0.416950583457947;0.1074128895998;-0.2472864985466;-0.318881541490555;-0.0521760992705822;0.888065993785858;-0.70078033208847;0.143350809812546;0.0603263825178146;0.105022840201855;0.167290821671486
5;0.3;0.5;1.30200183422015;1.21448770864686;1.11827032973594;0.47486679977963;0.811236182802448;1.16257828685617;-0.2250946611166;-0.6000856757164;0.138780668377876;-0.0460191629827023;-0.207217022776604;0.163722544908524;0.861526668071747;0.117174990475178;0.124369941651821;-0.263363420963287;0.0196671802550554;0.150822296738625;0.474658489227295;0.3925501704216;0.105883382260799;-0.134938538074493;-0.270444542169571;0.0439237356185913;0.889259874820709;-0.693587005138397;0.161862835288048;-0.0281269736588001;0.0780403837561607;0.216218620538712
6;0.3;0.5;1.28323822488619;1.20475887044699;1.10384881231035;0.442688183805904;0.806855966258854;1.13630059315256;-0.220579817891121;-0.613907992839813;0.156519740819931;0.0830302461981773;-0.136775702238083;0.231958732008934;0.834755957126617;0.116137720644474;0.144612282514572;-0.27905085682869;-0.0163095388561487;0.256031781435013;0.472943842411041;0.371215790510178;0.118466503918171;0.0592346899211407;-0.157211095094681;0.202843382954597;0.880683839321137;-0.689410030841827;0.186148703098297;-0.107541814446449;0.0461790822446346;0.249810665845871
7;0.3;0.5;1.25013550820396;1.20184776120565;1.07835565887079;0.404632435108608;0.800698607100711;1.11462158025235;-0.207006603479385;-0.621637940406799;0.180717796087265;0.163464114069939;-0.067503072321415;0.268312126398087;0.805461823940277;0.111674048006535;0.174752831459045;-0.268923103809357;-0.0278250444680452;0.302546918392181;0.486139118671417;0.360190480947494;0.145154386758804;0.194044828414917;-0.0785381346940994;0.308918952941895;0.869398534297943;-0.68646776676178;0.208058744668961;-0.13243305683136;0.0321044623851776;0.243198722600937
8;0.3;0.5;1.22038144351242;1.20421597462869;1.03545154197514;0.369733027911661;0.79873019347122;1.09521038525193;-0.187116369605064;-0.626774311065674;0.209859356284142;0.190257027745247;-0.0299602877348661;0.255897849798203;0.786717593669891;0.108737945556641;0.191332146525383;-0.243422225117683;-0.013379423879087;0.236941084265709;0.510649681091309;0.354683101177216;0.181638732552528;0.253585040569305;-0.0394299551844597;0.333834290504456;0.846538305282593;-0.687748968601227;0.237284585833549;-0.141669139266014;0.00842444971203804;0.19493405520916
9;0.3;0.5;1.19076736911966;1.2198784666627;1.00433699042848;0.331044436488457;0.800749622065057;1.08541502680891;-0.168631628155708;-0.629140615463257;0.233686611056328;0.173954918980598;-0.0209981575608253;0.217104375362396;0.765056133270264;0.109881773591042;0.217116162180901;-0.202540054917335;0.0279700700193644;0.221689745783806;0.546881139278412;0.358859866857529;0.209844768047333;0.265961229801178;-0.0275653246790171;0.241333737969398;0.833985269069672;-0.687895596027374;0.253114402294159;-0.105097204446793;0.0041640242561698;0.137593299150467
