i;T_Z;k_f;k_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;0.991865910743546;1.24491895708579;1.47083841774085;1.5276591485145;1.29135064249594;0.645655686778704;-0.32918444275856;0.562460124492645;0.0699019879102707;0.0217128023505211;0.0111704617738724;0.0598760433495045;-0.341417253017426;1.5542505979538;0.0615464337170124;0.0168414935469627;0.0348161719739437;0.0674464404582977;0.910313248634338;0.678514778614044;0.0864357277750969;0.000572878227103502;0.0318598859012127;0.0602509938180447;0.929221212863922;1.32389354705811;0.109330348670483;0.00852805655449629;0.00518439244478941;0.119098976254463
1;0.3;15.5;5.2;0.4;0.994429257964054;1.24196722537674;1.46745956849672;1.52635771988791;1.28932512630979;0.643328144765083;-0.325012743473053;0.562912285327911;0.0760268345475197;0.027630727738142;0.00678225699812174;0.0759965032339096;-0.337519109249115;1.55726289749146;0.0689666569232941;0.023113701492548;0.0211469866335392;0.071745365858078;0.911438167095184;0.679838478565216;0.092636913061142;0.00680428510531783;0.0205840151757002;0.072918564081192;0.930324852466583;1.32288932800293;0.120201498270035;0.0109417485073209;-0.00581126473844051;0.136802032589912
2;0.3;15.5;5.2;0.4;0.994206670337301;1.23869531431969;1.46282426631102;1.52323766222165;1.2885135927929;0.63705514847202;-0.320877730846405;0.563443422317505;0.0861694067716599;0.0222501400858164;0.00245623500086367;0.139214307069778;-0.334492474794388;1.55755686759949;0.0783275365829468;0.0113003747537732;-0.0147926975041628;0.124574027955532;0.912110805511475;0.682209372520447;0.104911684989929;-0.00661587156355381;0.0256921071559191;0.145155534148216;0.931738078594208;1.31896209716797;0.135698944330215;0.0135581651702523;-0.0686267465353012;0.181347817182541
3;0.3;15.5;5.2;0.4;0.989061116094703;1.2346512280087;1.45622053365012;1.51767204232323;1.28899300298453;0.626656312763607;-0.317710727453232;0.564140260219574;0.105195313692093;0.0091027058660984;0.00451411446556449;0.22682523727417;-0.332314729690552;1.55309355258942;0.0947945043444634;0.00832132250070572;-0.0610835775732994;0.20074574649334;0.911202073097229;0.683039307594299;0.119458615779877;-0.0223871301859617;0.0169984176754951;0.187069967389107;0.933413743972778;1.30930185317993;0.153381377458572;0.0168219469487667;-0.136566638946533;0.213130503892899
4;0.3;15.5;5.2;0.4;0.978313160636854;1.22989048159145;1.44610276989701;1.50796692707894;1.28992382125798;0.608525271200953;-0.315170705318451;0.5652015209198;0.130165994167328;0.00765859289094806;0.00812337454408407;0.278359204530716;-0.330177783966064;1.54339957237244;0.119689479470253;0.0110773695632815;-0.101391792297363;0.239615187048912;0.908964455127716;0.684044718742371;0.141752392053604;-0.030804879963398;0.00843965448439121;0.206688269972801;0.935013055801392;1.29201221466064;0.175126895308495;0.014910620637238;-0.201298728585243;0.214481472969055
5;0.3;15.5;5.2;0.4;0.964724221380619;1.22454182957263;1.41590134373067;1.49782006903302;1.27923575400464;0.577019851644756;-0.312171787023544;0.567358553409576;0.155470564961433;0.0143421469256282;0.0145220439881086;0.254233866930008;-0.327388972043991;1.53196275234222;0.144079074263573;0.022685632109642;-0.124638885259628;0.242668122053146;0.906861245632172;0.683380782604218;0.161743611097336;-0.0295350924134254;-0.00710821337997913;0.203117787837982;0.9226433634758;1.26018476486206;0.217674940824509;-0.024822561070323;-0.253750622272491;0.242556855082512
6;0.3;15.5;5.2;0.4;0.946534857051558;1.21899609861983;1.39433651381411;1.48623704584591;1.27495175319514;0.550683836737161;-0.308428585529327;0.570737183094025;0.180032789707184;0.0171774234622717;0.0151674970984459;0.209822207689285;-0.322879135608673;1.5171617269516;0.169643878936768;0.0345694608986378;-0.144918948411942;0.217806726694107;0.905601322650909;0.680659294128418;0.182297348976135;-0.0165103897452354;-0.0218625795096159;0.181447669863701;0.919581413269043;1.23116564750671;0.241525277495384;-0.0286463983356953;-0.269791722297668;0.176952347159386
7;0.3;15.5;5.2;0.4;0.929878556217551;1.21438575453795;1.37484581996988;1.47534536138735;1.27007150257328;0.526769231841511;-0.304537385702133;0.572991371154785;0.197939842939377;0.0331563018262386;0.0159937031567097;0.162183657288551;-0.317659318447113;1.50277733802795;0.189835399389267;0.04186936840415;-0.148325115442276;0.184387400746346;0.905335009098053;0.677593231201172;0.199280470609665;-0.00882998574525118;-0.0312247276306152;0.158245429396629;0.916826546192169;1.20423710346222;0.254909038543701;-0.0261554718017578;-0.266907870769501;0.090668335556984
8;0.3;15.5;5.2;0.4;0.915403205293129;1.21006210445458;1.35660395522525;1.46579666096367;1.2658438731507;0.504019455882432;-0.300301760435104;0.573686301708221;0.214806064963341;0.0307375248521566;-0.000883616623468697;0.143244206905365;-0.312538802623749;1.48900771141052;0.205078408122063;0.0411582365632057;-0.1419687718153;0.132386565208435;0.905616581439972;0.673742532730103;0.213734641671181;-0.00220304937101901;-0.0377691611647606;0.130938813090324;0.914424479007721;1.17768502235413;0.260604977607727;-0.0224613063037395;-0.258427768945694;0.0273320078849792
9;0.3;15.5;5.2;0.4;0.902559860667855;1.20604481379193;1.33935644167159;1.45681375916435;1.26225798012492;0.481200629761325;-0.295636028051376;0.571776509284973;0.227969273924828;0.0278723035007715;-0.0211291369050741;0.115081578493118;-0.307605981826782;1.47425699234009;0.219286948442459;0.0350302830338478;-0.132715359330177;0.109197445213795;0.906477093696594;0.669080853462219;0.22728219628334;-0.000167727659572847;-0.039568018168211;0.108064495027065;0.912357866764069;1.15024554729462;0.261457473039627;-0.00938468705862761;-0.233890786767006;5.09496821905486E-05
