i;T_Z;k_f;k_f_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;1.68556356300667;1.46080151704885;1.23853860317349;0.326090351257424;1.21414234966081;1.25419449680216;-0.184980049729347;-0.638842582702637;0.0117052933201194;0.0080604050308466;0.00919499155133963;-0.000967450439929962;1.06205320358276;0.495191186666489;0.0117035396397114;0.00793338753283024;0.00901142973452807;-0.00087838782928884;0.735962867736816;0.495090931653976;0.0117108840495348;0.00821224506944418;0.00935404002666473;-0.000945427687838674;1.05096840858459;-0.718900561332703;0.0117081413045526;0.008257613517344;0.00941860023885965;-0.00101230188738555
1;0.3;15.5;5.2;0.4;1.68554206442324;1.4604790141837;1.23852645349755;0.326656342615124;1.21412815264367;1.25439320108624;-0.185039982199669;-0.638892948627472;0.0144292507320642;0.00641937553882599;0.00792673602700233;0.0917835459113121;1.06198573112488;0.495117157697678;0.0149141913279891;0.0065608317963779;0.00753904972225428;0.0826401114463806;0.735329389572144;0.495090812444687;0.0157563742250204;-0.0167846251279116;0.00893019046634436;0.121648781001568;1.05089569091797;-0.718960344791412;0.0148907070979476;0.00624980311840773;0.0078576123341918;0.0992823466658592
2;0.3;15.5;5.2;0.4;1.68544102382541;1.45407001970308;1.23846155324054;0.336904739531266;1.21408776686694;1.2571313778074;-0.185530826449394;-0.639410734176636;0.0349059998989105;0.000624635838903487;0.000868465751409531;0.233399465680122;1.06147563457489;0.494470357894897;0.0351107604801655;0.000546542694792151;-0.000487870420329273;0.233578011393547;0.72457093000412;0.494623839855194;0.0422324314713478;-0.169033199548721;-0.00120486551895738;0.307093322277069;1.0503340959549;-0.719566285610199;0.0348693951964378;-0.000640013895463198;-0.00058598059695214;0.238688260316849
3;0.3;15.5;5.2;0.4;1.68532680209461;1.43630644591159;1.23833914810867;0.364549820508838;1.21408170891039;1.26393836909693;-0.186759233474731;-0.640889227390289;0.0600031688809395;-0.00641738343983889;-0.00870019104331732;0.237931475043297;1.06023359298706;0.492837071418762;0.0603550747036934;-0.00662004062905908;-0.0102214496582747;0.238121956586838;0.69568407535553;0.492367148399353;0.072921134531498;-0.352786004543304;-0.0274068862199783;0.263681292533875;1.04897344112396;-0.721192419528961;0.0600078962743282;-0.00840391870588064;-0.0109600611031055;0.234749898314476
4;0.3;15.5;5.2;0.4;1.68520435523688;1.40558771926897;1.23814503792925;0.409236554270019;1.21415664218057;1.27291585473043;-0.188565567135811;-0.643230557441711;0.0798341855406761;-0.0120311072096229;-0.0170718841254711;0.186019420623779;1.05838930606842;0.490355461835861;0.0803449526429176;-0.0123594701290131;-0.0183602441102266;0.186311766505241;0.649182498455048;0.485421299934387;0.0918064936995506;-0.522366464138031;-0.0941379740834236;0.159005135297775;1.04695868492126;-0.723747372627258;0.0800158530473709;-0.0145109063014388;-0.019823731854558;0.18286706507206
5;0.3;15.5;5.2;0.4;1.68485860481367;1.3618992818131;1.23780225053188;0.465118385040826;1.21429365629645;1.27893220172834;-0.190716654062271;-0.64616733789444;0.0948530212044716;-0.0153155466541648;-0.022756040096283;0.150072604417801;1.05589175224304;0.487285792827606;0.0963855534791946;-0.026669017970562;-0.0247067809104919;0.173318445682526;0.591135084629059;0.468945890665054;0.103578545153141;-0.620259642601013;-0.205663681030273;0.125020608305931;1.04444646835327;-0.72695392370224;0.0956806465983391;-0.0228626038879156;-0.0256959013640881;0.161880195140839
6;0.3;15.5;5.2;0.4;1.68010117827445;1.31304832690279;1.2361025622156;0.515230710828222;1.21401574253538;1.27909019403478;-0.192973494529724;-0.649398148059845;0.108133867383003;-0.0161878876388073;-0.0253594033420086;0.135419309139252;1.04766511917114;0.483543068170548;0.11525846272707;-0.112906381487846;-0.0331676304340363;0.195964425802231;0.533948421478272;0.444073587656021;0.117709718644619;-0.554724335670471;-0.264479428529739;0.153091669082642;1.04046881198883;-0.730451345443726;0.111010529100895;-0.0432576574385166;-0.0277730822563171;0.15171717107296
7;0.3;15.5;5.2;0.4;1.66603464173579;1.27134450196133;1.23186996655273;0.540312153866453;1.2126981543652;1.27323419078866;-0.195144444704056;-0.652650833129883;0.120732344686985;-0.0152541967108846;-0.0253021568059921;0.125438198447227;1.02786064147949;0.478689074516296;0.132789820432663;-0.235994800925255;-0.0461280345916748;0.156815722584724;0.491009145975113;0.417634218931198;0.134158417582512;-0.383955419063568;-0.257461100816727;0.156460374593735;1.03403699398041;-0.733993351459503;0.124560073018074;-0.0705507472157478;-0.0281300619244575;0.127002000808716
8;0.3;15.5;5.2;0.4;1.64202118295623;1.24394355530308;1.22480232524878;0.533922275260976;1.21020730295762;1.26280466545049;-0.197125747799873;-0.655738174915314;0.132699966430664;-0.0133179621770978;-0.0233986210078001;0.116557992994785;0.996012926101685;0.472381353378296;0.144339054822922;-0.354521661996841;-0.0619366802275181;0.104203172028065;0.4676274061203;0.395688861608505;0.147087424993515;-0.201151609420776;-0.204091235995293;0.103674411773682;1.02494585514069;-0.737480044364929;0.13600866496563;-0.0967005267739296;-0.0275315027683973;0.109511576592922
9;0.3;15.5;5.2;0.4;1.60981225339284;1.2306246171296;1.21543719791303;0.501718364239455;1.20677989480834;1.25114099628103;-0.198898449540138;-0.658551752567291;0.143907338380814;-0.0112953381612897;-0.0204646047204733;0.107472971081734;0.954515159130096;0.464449822902679;0.153438076376915;-0.445182293653488;-0.0791631564497948;0.0903630554676056;0.459794163703918;0.380948603153229;0.154941499233246;-0.0511179268360138;-0.127025261521339;0.0700963288545609;1.01374757289886;-0.740875542163849;0.146540209650993;-0.115541689097881;-0.0266311075538397;0.101746641099453
