i;T_Z;k_f;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;0.5;0.4;1.68523393574534;1.46079145841557;1.23863310814073;0.325849787254351;1.21382509080768;1.25412123092697;-0.185289159417152;-0.63934999704361;0.0130476942285895;-0.000497144588734955;-0.00120846566278487;0.00977441482245922;1.06146574020386;0.494499921798706;0.0133765805512667;-0.00447405641898513;-0.00432423362508416;0.00897511281073093;0.735615968704224;0.494601249694824;0.013133866712451;-0.00174529722426087;-0.00190029805526137;0.0100432829931378;1.05076241493225;-0.71927797794342;0.0128081887960434;0.00144867936614901;0.0011036986252293;0.0099989278241992
1;0.3;0.5;0.4;1.6840617529049;1.46037944932128;1.23898753376146;0.325198100683948;1.21262148457211;1.25353502557801;-0.186741948127747;-0.640973031520844;0.0191568769514561;-0.00848270952701569;-0.0120517015457153;0.156725406646729;1.05907154083252;0.492169827222824;0.0198052972555161;-0.0178210325539112;-0.0174999814480543;0.139621034264565;0.733873844146729;0.492682427167892;0.0193414464592934;-0.0140862073749304;-0.0237930156290531;0.161270380020142;1.04969608783722;-0.720415413379669;0.020852217450738;-0.00707823690026999;-0.00786711275577545;0.184521183371544
2;0.3;0.5;0.4;1.68251483481112;1.45636110560016;1.23882646796588;0.324846576097174;1.21168217359725;1.24939624006778;-0.188431546092033;-0.643423438072205;0.0455038920044899;-0.00590617395937443;-0.0175125189125538;0.306055545806885;1.05573201179504;0.489234149456024;0.0457886308431625;-0.0239587761461735;-0.0184925775974989;0.295346587896347;0.730900585651398;0.486096858978272;0.0460735820233822;-0.0246424749493599;-0.0878318175673485;0.309903800487518;1.04787349700928;-0.722422540187836;0.0481910929083824;-0.0128816058859229;-0.0154686374589801;0.306389838457108
3;0.3;0.5;0.4;1.68083148956545;1.44641516000828;1.23764842374113;0.325341866538787;1.21175962493883;1.23935916395291;-0.189429134130478;-0.646066427230835;0.0777019485831261;0.0027404255233705;-0.0172494016587734;0.307620197534561;1.05229496955872;0.486768841743469;0.0772814452648163;-0.0228594150394201;-0.0113340234383941;0.30551740527153;0.727254152297974;0.472776085138321;0.0780816748738289;-0.0284157413989305;-0.154362052679062;0.304952025413513;1.04570138454437;-0.72497284412384;0.0797309353947639;-0.0150454258546233;-0.0193642824888229;0.300874173641205
4;0.3;0.5;0.4;1.67915324324732;1.43110139644584;1.23546407306094;0.327129876192494;1.21297749548959;1.22377600181858;-0.189387574791908;-0.648390173912048;0.106236420571804;0.0131077580153942;-0.0130555061623454;0.266743421554565;1.04926645755768;0.485316932201386;0.105764284729958;-0.0186242647469044;-0.000502730254083872;0.270946502685547;0.723678708076477;0.453590393066406;0.106538265943527;-0.0248285382986069;-0.206382602453232;0.264838844537735;1.04353165626526;-0.727647006511688;0.10783114284277;-0.0145368194207549;-0.0196564383804798;0.263371050357819
5;0.3;0.5;0.4;1.67746286824178;1.412559836176;1.23251977153716;0.33029721850102;1.21515735425352;1.20453519723729;-0.188337579369545;-0.650105178356171;0.130132481455803;0.0224016495049;-0.00670056603848934;0.227242037653923;1.04671549797058;0.485027223825455;0.130138054490089;-0.014846115373075;0.0110184866935015;0.233952715992928;0.720877230167389;0.430937707424164;0.13042263686657;-0.0155131258070469;-0.235842406749725;0.227457448840141;1.04158222675323;-0.730119287967682;0.131812810897827;-0.01227440033108;-0.0172123834490776;0.227210745215416
6;0.3;0.5;0.4;1.67558351361104;1.39295744112301;1.22917600767667;0.334555375058838;1.21777311707319;1.18353197604739;-0.186551094055176;-0.651124596595764;0.150651931762695;0.0287132672965527;3.84843442589045E-05;0.198630422353745;1.04450678825378;0.485570877790451;0.149276673793793;-0.0141826635226607;0.0209162309765816;0.203593000769615;0.719291090965271;0.407072156667709;0.151297360658646;-0.00224351999349892;-0.241499602794647;0.200774565339088;1.03994858264923;-0.7321937084198;0.152560964226723;-0.00932331476360559;-0.0131598273292184;0.198637634515762
7;0.3;0.5;0.4;1.67336686702171;1.37442637963032;1.22577849961777;0.338842718122822;1.22077148507944;1.1627814822842;-0.184396013617516;-0.651536285877228;0.168945223093033;0.0317021645605564;0.00568143092095852;0.17728978395462;1.04197442531586;0.486959308385849;0.168041974306107;-0.017978273332119;0.0273551363497972;0.1798205524683;0.719086408615112;0.384208559989929;0.169863879680634;0.0116440309211612;-0.226509526371956;0.176952734589577;1.03861844539642;-0.733807563781738;0.170869737863541;-0.00667634001001716;-0.00880696251988411;0.175348311662674
8;0.3;0.5;0.4;1.67064535681797;1.35843469143891;1.22254754005409;0.342278077777926;1.22372728975373;1.1438870928995;-0.182188719511032;-0.651541352272034;0.18551866710186;0.0319471620023251;0.00929754786193371;0.158964619040489;1.0388320684433;0.488706052303314;0.184862285852432;-0.0252534225583076;0.0301525834947824;0.159954190254211;0.72010064125061;0.363948047161102;0.186383783817291;0.0230601243674755;-0.197723984718323;0.156130373477936;1.03750538825989;-0.735020518302918;0.187242716550827;-0.00490267667919397;-0.00519772851839662;0.1561608761549
9;0.3;0.5;0.4;1.66732368046036;1.34557282041158;1.21957572426053;0.344213154991983;1.22643378309319;1.12777360983038;-0.180141165852547;-0.65138167142868;0.200539156794548;0.030447069555521;0.0106630800291896;0.142320275306702;1.03483140468597;0.49046328663826;0.200013905763626;-0.0340815782546997;0.029874287545681;0.142950803041458;0.721920609474182;0.347042471170425;0.201142370700836;0.0299554131925106;-0.163641154766083;0.138695687055588;1.03649759292603;-0.735969364643097;0.202002868056297;-0.00414894055575132;-0.00292782066389918;0.13988870382309
