i;T_Z;k_f;k_f_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;1.68547234923798;1.46068594330871;1.23858810017019;0.326402395948088;1.21403318679006;1.25441205502235;-0.185376808047295;-0.639234900474548;0.0128939710557461;-0.00155211472883821;0.00257540331222117;0.00940546952188015;1.06165516376495;0.494664698839188;0.0127379233017564;-0.000433104200055823;0.00294429203495383;0.00854710210114718;0.735252797603607;0.49480414390564;0.0133544821292162;-0.00692213606089354;-0.000987960956990719;0.0098075158894062;1.05061960220337;-0.719318330287933;0.0127891395241022;-0.000839610875118524;0.00288392300717533;0.00876317825168371
1;0.3;15.5;5.2;0.4;1.6858049886211;1.45877914758973;1.23868966309535;0.328519359497233;1.21411606749474;1.25386556464026;-0.187123492360115;-0.640020847320557;0.0191825460642576;-0.0130512304604054;-0.0047381455078721;0.161860659718514;1.0601202249527;0.494140326976776;0.0187832564115524;-0.0109263844788075;-0.0022652936168015;0.158337369561195;0.731602489948273;0.493107199668884;0.0202650316059589;-0.0668978616595268;-0.0136903077363968;0.178460329771042;1.04898631572723;-0.719924688339233;0.0189597383141518;-0.0119162853807211;-0.00301417661830783;0.16022801399231
2;0.3;15.5;5.2;0.4;1.68630407351022;1.44742182537536;1.23878679730283;0.345130189932631;1.21426248667525;1.25644916226337;-0.189882293343544;-0.641501486301422;0.0451147258281708;-0.0209281239658594;-0.0108440890908241;0.302512228488922;1.05764555931091;0.49308905005455;0.0450339689850807;-0.0184308104217052;-0.00722128432244062;0.306724190711975;0.712527692317963;0.490172564983368;0.0483159869909287;-0.291634768247604;-0.0253394395112991;0.305361032485962;1.04634320735931;-0.721120834350586;0.0458841100335121;-0.0198591016232967;-0.00848527532070875;0.307334750890732
3;0.3;15.5;5.2;0.4;1.68687432298467;1.41951159680765;1.23879092295253;0.387992348133865;1.21451494326533;1.2660255071256;-0.193121314048767;-0.643410980701447;0.0767567083239555;-0.0238428264856338;-0.0142116649076343;0.305568903684616;1.05471038818359;0.491692990064621;0.0771859958767891;-0.0214276686310768;-0.00995590165257454;0.308846116065979;0.666759490966797;0.48602169752121;0.0791340097784996;-0.568769097328186;-0.0384282544255257;0.286973655223846;1.04312527179718;-0.722766697406769;0.0798716247081757;-0.0231601763516664;-0.0120293935760856;0.308023869991302
4;0.3;15.5;5.2;0.4;1.68745280465872;1.37729950016705;1.23901640448431;0.454754234485743;1.21468534160153;1.28362594395939;-0.196369722485542;-0.645451366901398;0.105463720858097;-0.0230354592204094;-0.0150198936462402;0.268326640129089;1.05175185203552;0.490193605422974;0.105958059430122;-0.0209555588662624;-0.0106875598430634;0.268382757902145;0.597104907035828;0.480315893888474;0.106304727494717;-0.758779883384705;-0.0566667951643467;0.264009118080139;1.04012656211853;-0.724436104297638;0.106372274458408;-0.0231948457658291;-0.0133506059646606;0.267537713050842
5;0.3;15.5;5.2;0.4;1.68783030037032;1.33208111696934;1.2390335784967;0.527367387067211;1.21493165827871;1.30491290215223;-0.199321657419205;-0.647385597229004;0.129980713129044;-0.0198012385517359;-0.0137325963005424;0.231038868427277;1.04885625839233;0.488758325576782;0.130789592862129;-0.0294163189828396;-0.0107006756588817;0.243054673075676;0.521734416484833;0.472667187452316;0.133173450827599;-0.734538555145264;-0.0778763666749001;0.26678866147995;1.03720796108246;-0.726117491722107;0.129971191287041;-0.0227660574018955;-0.0125992717221379;0.228591307997704
6;0.3;15.5;5.2;0.4;1.68372285843226;1.2949618963292;1.23775647194958;0.580705743044493;1.21470601789337;1.32186161589966;-0.201835229992867;-0.649055361747742;0.151152029633522;-0.0155803775414825;-0.0110812857747078;0.201244458556175;1.04078340530396;0.487087935209274;0.153819113969803;-0.123384580016136;-0.016318067908287;0.221112325787544;0.460549771785736;0.463676601648331;0.156741797924042;-0.561903238296509;-0.0860935673117638;0.21124604344368;1.03342688083649;-0.727595806121826;0.150843590497971;-0.0414409600198269;-0.0105192763730884;0.203877538442612
7;0.3;15.5;5.2;0.4;1.66972619961905;1.27037407218454;1.23319843462325;0.599510411872283;1.21348968832195;1.32952628689318;-0.203920632600784;-0.650396823883057;0.169822618365288;-0.0116467606276274;-0.00792894419282675;0.177939429879189;1.02070498466492;0.48462638258934;0.173420503735542;-0.255172222852707;-0.0261447597295046;0.177664995193481;0.421921014785767;0.455122292041779;0.174043670296669;-0.338540077209473;-0.0768862292170525;0.157066226005554;1.02677989006042;-0.728848099708557;0.170240864157677;-0.0728827193379402;-0.00828714109957218;0.178849041461945
8;0.3;15.5;5.2;0.4;1.64515715410601;1.25812308314806;1.22482566005382;0.583374913986756;1.21130085319993;1.32754020008765;-0.205674692988396;-0.651419758796692;0.186508134007454;-0.0086376303806901;-0.00492363842204213;0.158333078026772;0.987703144550324;0.48100745677948;0.189070045948029;-0.37922739982605;-0.0390890799462795;0.143774911761284;0.405238837003708;0.448424935340881;0.187806442379951;-0.133390054106712;-0.0545278005301952;0.136000514030457;1.01663100719452;-0.729947924613953;0.188014566898346;-0.104066051542759;-0.00720262760296464;0.158951506018639
9;0.3;15.5;5.2;0.4;1.61238891794766;1.2558239858753;1.21394660182915;0.540848076021978;1.20848761885368;1.31941968072162;-0.207220986485481;-0.652183055877686;0.201411619782448;-0.00676344288513064;-0.00253972131758928;0.140570640563965;0.944712996482849;0.476021766662598;0.202596560120583;-0.465826719999313;-0.0529214851558208;0.128661125898361;0.404788970947266;0.444419741630554;0.20118722319603;0.0137037597596645;-0.0260774344205856;0.136855691671371;1.0041640996933;-0.731002628803253;0.203106462955475;-0.124962493777275;-0.00727357901632786;0.138722494244576
10;0.3;15.5;5.2;0.4;1.57542336161037;1.25997325015153;1.20210701175421;0.484598829813116;1.20562590305938;1.30984298356238;-0.208676338195801;-0.652776479721069;0.214749872684479;-0.00590176926925778;-0.000977556454017758;0.125942528247833;0.896641790866852;0.469823449850082;0.215024635195732;-0.501699566841126;-0.0634546428918839;0.115886054933071;0.412770539522171;0.443278431892395;0.214951455593109;0.0880917757749558;0.00175959477201104;0.135327413678169;0.990809381008148;-0.732119262218475;0.216107279062271;-0.13274310529232;-0.00810927897691727;0.122930139303207
11;0.3;15.5;5.2;0.4;1.53841245370086;1.26678289872609;1.1903567619571;0.426812760751363;1.20326373929526;1.30221701726513;-0.210116416215897;-0.65328711271286;0.226781100034714;-0.00568433851003647;-0.000195921282283962;0.112852938473225;0.848493278026581;0.4629827439785;0.226247116923332;-0.492963582277298;-0.067521758377552;0.104349359869957;0.422082334756851;0.444466799497604;0.227956011891365;0.100431889295578;0.0219225808978081;0.121180966496468;0.977545440196991;-0.733340442180634;0.227743431925774;-0.12898662686348;-0.00870005879551172;0.109064191579819
12;0.3;15.5;5.2;0.4;1.50424131979788;1.27304283351766;1.179626921975;0.375572182549701;1.20176053158283;1.29781298547197;-0.211584880948067;-0.65378999710083;0.237576425075531;-0.00586458714678884;-9.8064643680118E-05;0.100879557430744;0.803579449653626;0.456247538328171;0.23636768758297;-0.457343965768814;-0.0639853775501251;0.0933835059404373;0.428124845027924;0.446850508451462;0.239309623837471;0.0734968632459641;0.030040392652154;0.103682950139046;0.965271830558777;-0.734585762023926;0.238146781921387;-0.117815852165222;-0.00845190603286028;0.0974544584751129
13;0.3;15.5;5.2;0.4;1.47454209982387;1.27661815087909;1.17031078372029;0.334683789325461;1.20139128769394;1.29617862948028;-0.213125824928284;-0.654338240623474;0.247860059142113;-0.00600658403709531;-0.000365355634130537;0.0913629606366158;0.763526499271393;0.450390070676804;0.245742857456207;-0.400011956691742;-0.0521283224225044;0.0930543318390846;0.428845107555389;0.449123233556747;0.249373853206635;0.0202575195580721;0.0258729252964258;0.097862683236599;0.954349875450134;-0.735749661922455;0.24758106470108;-0.104227736592293;-0.0070976885035634;0.0886573791503906
14;0.3;15.5;5.2;0.4;1.45228249187486;1.27496173926615;1.16220539203331;0.311652478005666;1.20183620275194;1.2977126511773;-0.214624181389809;-0.65495103597641;0.256125032901764;-0.00649366155266762;-0.00104938726872206;0.0832045897841454;0.732270658016205;0.446191370487213;0.255024462938309;-0.286070793867111;-0.0330986157059669;0.0830220058560371;0.42064756155014;0.450470715761185;0.259597331285477;-0.100543305277824;0.0154197635129094;0.101212620735168;0.944701015949249;-0.736721813678741;0.256232172250748;-0.0922190099954605;-0.00483995629474521;0.0805748254060745
15;0.3;15.5;5.2;0.4;1.43980615889951;1.263232846415;1.15503402776181;0.319399829513226;1.20235699648989;1.30585899992139;-0.216177850961685;-0.655636131763458;0.263990998268127;-0.00648074829950929;-0.00162568734958768;0.0724786445498467;0.713146984577179;0.4440898001194;0.262730419635773;-0.159007042646408;-0.0117382612079382;0.0688687413930893;0.39381268620491;0.450559496879578;0.268210738897324;-0.340771615505218;0.00177310639992356;0.0597513914108276;0.93595552444458;-0.737442553043366;0.264052242040634;-0.0838935449719429;-0.00226853555068374;0.0722748562693596
16;0.3;15.5;5.2;0.4;1.43586004998285;1.23810283560893;1.14825803996117;0.365850609795287;1.20253779739563;1.32520966623413;-0.217680484056473;-0.656351685523987;0.270945817232132;-0.00619301293045282;-0.00196244660764933;0.0658542662858963;0.704982101917267;0.443824589252472;0.269588053226471;-0.0541426315903664;0.00430001644417644;0.0662204921245575;0.339174836874008;0.449456065893173;0.271636962890625;-0.648360133171082;-0.0114035829901695;0.0122986137866974;0.92767721414566;-0.737913131713867;0.271207869052887;-0.0795586779713631;0.000282182008959353;0.0665001198649406
17;0.3;15.5;5.2;0.4;1.43741874281824;1.20186830659924;1.14150329886394;0.44871229054594;1.2022797388104;1.35867744089458;-0.219127535820007;-0.657064974308014;0.277415156364441;-0.00564170815050602;-0.0019691816996783;0.0597963146865368;0.704103171825409;0.444668978452683;0.27654767036438;0.0120897451415658;0.0143707813695073;0.0678205043077469;0.255397796630859;0.44716015458107;0.272868543863296;-0.919150233268738;-0.0285424795001745;0.0212162286043167;0.919491529464722;-0.738160014152527;0.277722775936127;-0.0787842273712158;0.00235833786427975;0.0600455552339554
18;0.3;15.5;5.2;0.4;1.44138570091344;1.16448964802509;1.13439483726004;0.5470479173459;1.20208310644492;1.40033162282465;-0.220486909151077;-0.657737970352173;0.283149302005768;-0.00507037760689855;-0.00175892596598715;0.0543728284537792;0.706239342689514;0.446241736412048;0.283860445022583;0.0282208006829023;0.0224760323762894;0.0768039003014565;0.159200370311737;0.443113386631012;0.278378486633301;-0.948242366313934;-0.0528328232467175;0.06922347843647;0.911046087741852;-0.738265752792358;0.283780932426453;-0.0839506536722183;0.00351256667636335;0.0589785128831863
19;0.3;15.5;5.2;0.4;1.44214087345063;1.13513211239324;1.12582329353246;0.626533932205268;1.20277496209525;1.43546763037636;-0.221784308552742;-0.65836089849472;0.288474351167679;-0.0045305103994906;-0.00139699806459248;0.0505542643368244;0.70324718952179;0.448023766279221;0.291533023118973;-0.0619098022580147;0.0215954426676035;0.0673786401748657;0.0768139064311981;0.436793893575668;0.286475241184235;-0.762846410274506;-0.0695678368210793;0.0700778737664223;0.901193737983704;-0.738350868225098;0.289544463157654;-0.10386623442173;0.00339696533046663;0.0528420656919479
