i;T_Z;k_f;k_f_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;1.68542069520536;1.46092935735571;1.23858763460502;0.325907245514442;1.21397950050489;1.25422381770939;-0.18547348678112;-0.63969761133194;0.0134512409567833;-0.00434154644608498;-0.00670245569199324;0.0102654844522476;1.06145977973938;0.494233757257462;0.0134730068966746;-0.00478741340339184;-0.00713451579213142;0.0105117633938789;0.735552549362183;0.49433308839798;0.0134260514751077;-0.00419616186991334;-0.00653066392987967;0.0103246551007032;1.0505279302597;-0.719696521759033;0.0134715372696519;-0.0046335868537426;-0.00699649518355727;0.0103104924783111
1;0.3;15.5;5.2;0.4;1.68542535853247;1.46079253864797;1.23863281197321;0.326040209275761;1.21390140176994;1.25412203592749;-0.187720403075218;-0.642324864864349;0.019751412793994;-0.0180397760123014;-0.0220268126577139;0.160761371254921;1.05921483039856;0.491611272096634;0.0200613103806972;-0.0183621924370527;-0.0223584063351154;0.165549740195274;0.733174622058868;0.491635978221893;0.0178279597312212;-0.0363072454929352;-0.0398618765175343;0.132440835237503;1.04833161830902;-0.722241342067719;0.0202535837888718;-0.0182634051889181;-0.0222045611590147;0.168841674923897
2;0.3;15.5;5.2;0.4;1.68454298411591;1.44901343183081;1.23850748976736;0.333968407909657;1.21348983146725;1.24843139636567;-0.191139444708824;-0.646331310272217;0.0458569005131722;-0.026409525424242;-0.0330354459583759;0.304477900266647;1.05511295795441;0.487044185400009;0.0434272401034832;-0.0635866969823837;-0.0675631761550903;0.269347846508026;0.72123259305954;0.4793761074543;0.038696926087141;-0.181222900748253;-0.186624392867088;0.224462509155273;1.0447770357132;-0.726401627063751;0.0483913272619247;-0.0272248368710279;-0.0338958986103535;0.304222941398621
3;0.3;15.5;5.2;0.4;1.66658710505948;1.42023937127142;1.23840554732493;0.342370046664967;1.20081403549696;1.23470215345113;-0.195006296038628;-0.651094317436218;0.0776097029447556;-0.0283833164721727;-0.0377210043370724;0.305683493614197;1.03856420516968;0.469537824392319;0.0739731639623642;-0.24528281390667;-0.274081140756607;0.312509268522263;0.696526348590851;0.454459577798843;0.0688952952623367;-0.276198208332062;-0.269338458776474;0.33573117852211;1.04080092906952;-0.731274127960205;0.0801338627934456;-0.0295629128813744;-0.0388380959630013;0.300381928682327
4;0.3;15.5;5.2;0.4;1.62139650861507;1.38133825901457;1.23860958722113;0.349634191761446;1.16267494731995;1.22285590619676;-0.198760449886322;-0.65596354007721;0.106008671224117;-0.0263830218464136;-0.0371095426380634;0.266514897346497;1.00835692882538;0.426530927419663;0.103635050356388;-0.326103568077087;-0.549528300762177;0.270858019590378;0.658723056316376;0.427003413438797;0.103067770600319;-0.454352408647537;-0.264964401721954;0.332199186086655;1.03727447986603;-0.735784351825714;0.104650780558586;-0.0282677970826626;-0.0388307645916939;0.26068651676178
5;0.3;15.5;5.2;0.4;1.55122408674574;1.33801036683614;1.2385436987027;0.3594850202332;1.10169725656358;1.2193186423011;-0.202105224132538;-0.66049462556839;0.130076229572296;-0.0222330931574106;-0.033434946089983;0.229386910796165;0.966767370700836;0.359325468540192;0.127922758460045;-0.497170656919479;-0.738399863243103;0.226977407932281;0.609936058521271;0.402924716472626;0.133722692728043;-0.485640555620194;-0.229898065328598;0.288514465093613;1.03386294841766;-0.740326762199402;0.127898082137108;-0.0243785791099071;-0.0349314361810684;0.226742386817932
6;0.3;15.5;5.2;0.4;1.46285449943176;1.30187429582566;1.23839669188123;0.355989431614819;1.03583937012221;1.22002792892179;-0.204952090978622;-0.664661586284637;0.150891244411469;-0.0175343956798315;-0.0314486175775528;0.200911566615105;0.908431589603424;0.284190386533737;0.14885725080967;-0.666966319084168;-0.749252796173096;0.2003363519907;0.566686868667603;0.383885025978088;0.157146170735359;-0.402505189180374;-0.182186722755432;0.216832876205444;1.03087568283081;-0.744386613368988;0.149121001362801;-0.0195892434567213;-0.0286929477006197;0.20118847489357
7;0.3;15.5;5.2;0.4;1.36897603210763;1.27641277769215;1.23822421970588;0.334017566755699;0.985293583182093;1.21955595325606;-0.207336023449898;-0.66887629032135;0.169426217675209;-0.0132144652307034;-0.0342410653829575;0.178655996918678;0.835153222084045;0.218429490923882;0.166444808244705;-0.807965755462647;-0.605164229869843;0.159557655453682;0.536643445491791;0.368294924497604;0.17508390545845;-0.265509605407715;-0.170712232589722;0.18016529083252;1.02837467193604;-0.74773246049881;0.167865306138992;-0.0155860669910908;-0.0221957229077816;0.179982900619507
8;0.3;15.5;5.2;0.4;1.28167228203456;1.25610890536863;1.23787007381208;0.29120030662344;0.962521883601311;1.20927946466214;-0.20935270190239;-0.673650622367859;0.186069697141647;-0.00969310663640499;-0.0410536080598831;0.158811762928963;0.753332614898682;0.172470420598984;0.181097403168678;-0.84809684753418;-0.397020280361176;0.144728496670723;0.521138072013855;0.348206907510757;0.190570116043091;-0.132857769727707;-0.259662091732025;0.145920753479004;1.0261242389679;-0.750585973262787;0.185728430747986;-0.0127266244962811;-0.0164610631763935;0.16302652657032
9;0.3;15.5;5.2;0.4;1.21416379641759;1.23063555028332;1.2373413191263;0.233235115880633;0.964493051152807;1.1822783088712;-0.211102932691574;-0.679229140281677;0.200953230261803;-0.00712021859362721;-0.048776850104332;0.14083831012249;0.678246796131134;0.14736071228981;0.195581898093224;-0.702064156532288;-0.201462909579277;0.136421650648117;0.515250504016876;0.314186453819275;0.202336072921753;-0.071555107831955;-0.402517467737198;0.10900392383337;1.0240364074707;-0.753014981746674;0.201984286308289;-0.0112209776416421;-0.0123214963823557;0.14587664604187
10;0.3;15.5;5.2;0.4;1.17535165974033;1.19564134691912;1.23668242151629;0.180605507799322;0.977602873298096;1.15031339257113;-0.2126854211092;-0.685498416423798;0.214283645153046;-0.0054672765545547;-0.0541598610579968;0.12591053545475;0.625520706176758;0.138432413339615;0.210142210125923;-0.457370847463608;-0.0817151293158531;0.160556316375732;0.50369793176651;0.271764934062958;0.214721515774727;-0.204655349254608;-0.415436387062073;0.129634350538254;1.02203416824341;-0.755147159099579;0.215778410434723;-0.0105747776106;-0.00962436385452747;0.125745385885239
11;0.3;15.5;5.2;0.4;1.15379351932235;1.15092598879406;1.23596522623928;0.166076302418355;0.980966094502999;1.13376804394058;-0.21417623758316;-0.692067921161652;0.22625832259655;-0.00453999172896147;-0.0553255751729012;0.113210543990135;0.597353041172028;0.128090426325798;0.225806966423988;-0.234630450606346;-0.189354613423347;0.146614938974381;0.469349473714829;0.233903586864471;0.22594641149044;-0.455421149730682;-0.358212828636169;0.0900662690401077;1.02007579803467;-0.757121384143829;0.227391943335533;-0.010261389426887;-0.0081503251567483;0.10950443148613
12;0.3;15.5;5.2;0.4;1.12900623018755;1.09374406176559;1.23536654910508;0.207365291644099;0.960572091354073;1.14000586776363;-0.215629026293755;-0.698491930961609;0.23713530600071;-0.00417430279776454;-0.0526628941297531;0.103000156581402;0.584456264972687;0.0980748236179352;0.238139003515244;-0.119587108492851;-0.416914403438568;0.102845124900341;0.405057489871979;0.202076956629753;0.23296782374382;-0.759163737297058;-0.325505167245865;0.057245746254921;1.01825654506683;-0.75896430015564;0.236720114946365;-0.0103529188781977;-0.00808445923030376;0.0999185368418694
13;0.3;15.5;5.2;0.4;1.09028050271753;1.01863006223918;1.23474252765866;0.297552612313313;0.913139112614948;1.16666746185644;-0.217087745666504;-0.704557657241821;0.247015908360481;-0.00432050786912441;-0.0497820675373077;0.0931001752614975;0.57882684469223;0.0405809469521046;0.245462134480476;-0.0348451249301434;-0.694263160228729;0.0545922070741653;0.309619724750519;0.167329058051109;0.239097446203232;-1.03487324714661;-0.40245395898819;0.0618878304958344;1.01636838912964;-0.76090544462204;0.246344491839409;-0.00997670274227858;-0.00808282103389502;0.0917492285370827
14;0.3;15.5;5.2;0.4;1.04036547336773;0.931740522727546;1.2342189328794;0.417721336631769;0.840654302303709;1.20596229885851;-0.218588322401047;-0.71051037311554;0.255889654159546;-0.00485071446746588;-0.0511110872030258;0.0830063223838806;0.579743981361389;-0.0434077940881252;0.249712124466896;0.0430765077471733;-0.946878254413605;0.042410135269165;0.196818366646767;0.123502627015114;0.24662359058857;-1.20009696483612;-0.484168082475662;0.0781764537096024;1.01451814174652;-0.762901425361633;0.25520071387291;-0.00950875785201788;-0.0083759231492877;0.0829090997576714
15;0.3;15.5;5.2;0.4;0.986244842416272;0.84739548228192;1.23366640978993;0.556736461468033;0.750112481816873;1.25901031887746;-0.220146268606186;-0.71699732542038;0.263830006122589;-0.00543523766100407;-0.0598463229835033;0.0750460177659988;0.585607707500458;-0.14827997982502;0.253941148519516;0.0842188969254494;-1.10007047653198;0.0526697710156441;0.0764043405652046;0.0768142640590668;0.256228387355804;-1.23209929466248;-0.456292659044266;0.0951657146215439;1.01258540153503;-0.765012323856354;0.263528913259506;-0.0160099845379591;-0.0105866733938456;0.0844853445887566
16;0.3;15.5;5.2;0.4;0.937605088666784;0.786339577605815;1.23053693190781;0.68582290750563;0.664569573913023;1.31654245678109;-0.221734449267387;-0.72481381893158;0.270975589752197;-0.00554225873202086;-0.076093390583992;0.0675139650702477;0.588294982910156;-0.252632051706314;0.262154936790466;0.004418327473104;-0.986508905887604;0.0881124958395958;-0.0326857753098011;0.0384623631834984;0.266481429338455;-1.0520271062851;-0.346343338489532;0.0858773440122604;1.00804936885834;-0.767859160900116;0.271929383277893;-0.0588584579527378;-0.021807448938489;0.0774007737636566
17;0.3;15.5;5.2;0.4;0.895139386614833;0.756164383078286;1.22192201557244;0.773998857899444;0.607947915126605;1.36227061219508;-0.223274931311607;-0.734596073627472;0.277429312467575;-0.00476639205589891;-0.0977830216288567;0.060723464936018;0.577023148536682;-0.333600431680679;0.2701216340065;-0.151589304208756;-0.71873152256012;0.0613414272665978;-0.114668309688568;0.0137281715869904;0.273450016975403;-0.759116590023041;-0.202454164624214;0.0491697639226913;0.998070061206818;-0.772143661975861;0.278954148292541;-0.118622504174709;-0.0375694446265697;0.0615825168788433
18;0.3;15.5;5.2;0.4;0.853737513731184;0.752102166051208;1.20732401360074;0.810786471345802;0.586045305639852;1.38711427899338;-0.224679693579674;-0.746561646461487;0.283163785934448;-0.00317340204492211;-0.119322210550308;0.0531224869191647;0.548310816287994;-0.384134531021118;0.27486127614975;-0.320928573608398;-0.40638729929924;0.0358391180634499;-0.16403104364872;0.0030912128277123;0.277564704418182;-0.425801515579224;-0.0655379965901375;0.0361518561840057;0.982233941555023;-0.778037846088409;0.284449130296707;-0.174892097711563;-0.0534107647836208;0.0491448156535625
19;0.3;15.5;5.2;0.4;0.811137470354235;0.764600886375798;1.18800797979192;0.800714545542186;0.5944149737456;1.39105659275583;-0.225889906287193;-0.760299921035767;0.288255661725998;-0.00119293457828462;-0.134761691093445;0.0476366654038429;0.503923952579498;-0.40630030632019;0.278480142354965;-0.465394556522369;-0.140911400318146;0.0422913879156113;-0.184177875518799;0.00316233863122761;0.281871497631073;-0.150627806782722;0.0300451274961233;0.0486548542976379;0.961855351924896;-0.785283148288727;0.28904801607132;-0.214274927973747;-0.0654135197401047;0.0429193489253521
20;0.3;15.5;5.2;0.4;0.768273995161227;0.785172585945964;1.16613009553559;0.759228939474423;0.623489575079945;1.38156050874403;-0.226910069584846;-0.77507096529007;0.292850703001022;0.000580695224925876;-0.140610739588738;0.0422460027039051;0.448371231555939;-0.408683061599731;0.28421339392662;-0.560817718505859;0.0299593769013882;0.070196196436882;-0.185629040002823;0.00901567935943604;0.288327187299728;0.0199699886143208;0.0815911442041397;0.0725754499435425;0.939077198505402;-0.79332172870636;0.293222606182098;-0.232288151979446;-0.0712522640824318;0.039956234395504
21;0.3;15.5;5.2;0.4;0.727429522120911;0.807635310135766;1.14384889147651;0.705207051435402;0.662333544131345;1.36751552979357;-0.227806940674782;-0.789523959159851;0.297029405832291;0.00147337233647704;-0.136392831802368;0.0394721478223801;0.387746781110764;-0.401906460523605;0.29240620136261;-0.593684315681458;0.100135862827301;0.0851554423570633;-0.179791778326035;0.0166827999055386;0.296723395586014;0.0868268758058548;0.0979504585266113;0.0814970880746841;0.915979504585266;-0.801476120948792;0.297275066375732;-0.230591624975204;-0.0700205340981483;0.0390664897859097
22;0.3;15.5;5.2;0.4;0.687561163853818;0.828234331684563;1.12288626340773;0.650575022747959;0.705330106931654;1.35513724469487;-0.228680536150932;-0.803194582462311;0.300959438085556;0.00124247232452035;-0.125294148921967;0.0361536145210266;0.323897451162338;-0.394051671028137;0.301429063081741;-0.562727332115173;0.0960814952850342;0.0734147280454636;-0.175159856677055;0.0233086813241243;0.304668664932251;0.0789729505777359;0.0871919617056847;0.0683075860142708;0.89419025182724;-0.809089839458466;0.301129311323166;-0.215151444077492;-0.0627146363258362;0.0359120666980743
23;0.3;15.5;5.2;0.4;0.657350137686891;0.844140004029737;1.10415897863384;0.613282793905599;0.736608080150637;1.3467841950827;-0.229656204581261;-0.815368950366974;0.304514080286026;-0.000268848176347092;-0.111700557172298;0.0336673334240913;0.272527873516083;-0.391198754310608;0.307841569185257;-0.497795522212982;0.0566486604511738;0.0534988418221474;-0.175994485616684;0.0270636975765228;0.310631334781647;0.0335723012685776;0.0589066408574581;0.0483666285872459;0.874502718448639;-0.815719366073608;0.304591596126556;-0.1942508071661;-0.0518329627811909;0.0320217162370682
24;0.3;15.5;5.2;0.4;0.631574712806413;0.85479805702817;1.08775025461463;0.588932684049943;0.759567738764304;1.34202807571349;-0.230829924345016;-0.826307892799377;0.30777832865715;-0.00265533872880042;-0.0996286571025848;0.0304685067385435;0.229175552725792;-0.393547475337982;0.312309473752975;-0.422169059514999;0.0102055324241519;0.0371021404862404;-0.18296080827713;0.0271487645804882;0.314607799053192;-0.0193893630057573;0.0224333219230175;0.0327425040304661;0.85690838098526;-0.821209311485291;0.307634115219116;-0.174953803420067;-0.0403490774333477;0.0281566977500916
25;0.3;15.5;5.2;0.4;0.610270829796715;0.861770073028912;1.07333103863588;0.574455390672837;0.774831407007398;1.33914958077058;-0.232414707541466;-0.837294220924377;0.311046689748764;-0.00557090202346444;-0.0906359702348709;0.0278312731534243;0.193365395069122;-0.400096565485001;0.315592586994171;-0.351474642753601;-0.0266398396342993;0.0308945439755917;-0.194506853818893;0.0236416961997747;0.317438155412674;-0.0607250221073628;-0.0135970273986459;0.0251156911253929;0.84085351228714;-0.825681865215302;0.310389965772629;-0.161809355020523;-0.0306525323539972;0.0259800236672163
26;0.3;15.5;5.2;0.4;0.591502076988155;0.86452390875912;1.05978753214914;0.565418478307565;0.784382049383735;1.33622339101587;-0.234103143215179;-0.846806228160858;0.313813090324402;-0.00780238537117839;-0.0872024521231651;0.0257585793733597;0.163456618785858;-0.408832550048828;0.318620294332504;-0.297252893447876;-0.0459513738751411;0.029939740896225;-0.208141848444939;0.0173277892172337;0.319791853427887;-0.0815392211079598;-0.0421992242336273;0.0219959244132042;0.825541853904724;-0.829425394535065;0.313008546829224;-0.155854150652885;-0.0240012630820274;0.0249260645359755
27;0.3;15.5;5.2;0.4;0.575874202818084;0.865908977698865;1.04652888175972;0.557594451628532;0.790915221451323;1.33181223328414;-0.235957562923431;-0.856331169605255;0.316328436136246;-0.00924098398536444;-0.0879902467131615;0.0230200011283159;0.137112975120544;-0.417640537023544;0.321571737527847;-0.264889448881149;-0.0477096289396286;0.0285015776753426;-0.221357688307762;0.00945471692830324;0.321887493133545;-0.0817590951919556;-0.059287466108799;0.0190505106002092;0.8103067278862;-0.8327996134758;0.315499126911163;-0.155742973089218;-0.0210498254746199;0.0231894142925739
28;0.3;15.5;5.2;0.4;0.562624935384552;0.867528653252609;1.03302585593578;0.54775460879267;0.79742740014457;1.32526980947265;-0.237883597612381;-0.866180121898651;0.318587064743042;-0.00970445200800896;-0.0912319198250771;0.0205352008342743;0.111394621431828;-0.425100147724152;0.32437926530838;-0.254816144704819;-0.0381197705864906;0.0250396076589823;-0.232395201921463;0.00133117008954287;0.323803842067718;-0.0675969123840332;-0.0645142793655396;0.0170888230204582;0.794706165790558;-0.836166799068451;0.317813813686371;-0.159195601940155;-0.0215156972408295;0.0211967267096043
29;0.3;15.5;5.2;0.4;0.551152250132208;0.870448273960699;1.01902901702012;0.534473355921782;0.806006906001761;1.31669221605534;-0.239790216088295;-0.876460015773773;0.320602595806122;-0.00937514379620552;-0.0951001718640327;0.018144378438592;0.0841851606965065;-0.430580258369446;0.326844215393066;-0.261473566293716;-0.0236436016857624;0.0199851598590612;-0.240474000573158;-0.00601201038807631;0.325544267892838;-0.0467766895890236;-0.0601610094308853;0.0148188667371869;0.778579294681549;-0.839803814888001;0.319913893938065;-0.163594916462898;-0.0244451798498631;0.0189420487731695
30;0.3;15.5;5.2;0.4;0.544050295329099;0.875152088199533;1.00455340801566;0.520299121514359;0.813853659714965;1.30668406457038;-0.24161684513092;-0.88711541891098;0.322333574295044;-0.00846181809902191;-0.0981197655200958;0.0155032817274332;0.0590643435716629;-0.433704406023026;0.328450083732605;-0.268995255231857;-0.0102738849818707;0.0143193611875176;-0.245654374361038;-0.0119726443663239;0.327014625072479;-0.0259535573422909;-0.0500195659697056;0.0120342317968607;0.762005090713501;-0.84386545419693;0.321696221828461;-0.166880771517754;-0.0285156853497028;0.0156215252354741
31;0.3;15.5;5.2;0.4;0.537975320534548;0.881558218178958;0.989778004416442;0.503657236933824;0.82496173442917;1.29605634657418;-0.24331995844841;-0.897979974746704;0.32390284538269;-0.00721766985952854;-0.0994891300797462;0.0141010647639632;0.0311258342117071;-0.435273855924606;0.329787105321884;-0.273837894201279;0.00163506797980517;0.0113786133006215;-0.248600423336029;-0.0164375714957714;0.328324675559998;-0.00996435526758432;-0.0383860282599926;0.0108347991481423;0.745213508605957;-0.848360598087311;0.323262721300125;-0.167980372905731;-0.0323950350284576;0.0139104081317782
32;0.3;15.5;5.2;0.4;0.533980904368671;0.889196279597605;0.974954871046898;0.487012713757774;0.837139484890037;1.28552553139471;-0.244895160198212;-0.908860564231873;0.325325012207031;-0.00603482639417052;-0.0990505367517471;0.0123167587444186;0.00280235870741308;-0.435805022716522;0.330909818410873;-0.274061352014542;0.00831820163875818;0.0092877084389329;-0.250222444534302;-0.019680242985487;0.329524129629135;-0.00078131229383871;-0.0288878008723259;0.00966084003448486;0.728469014167786;-0.853190243244171;0.324676036834717;-0.166711688041687;-0.0351607389748096;0.0124492421746254
33;0.3;15.5;5.2;0.4;0.53173317821959;0.897155538164044;0.960326172709851;0.471337917465832;0.849642685502272;1.27544391499947;-0.246371924877167;-0.919589161872864;0.326542496681213;-0.00520081492140889;-0.0971345603466034;0.0106158722192049;-0.0253196638077497;-0.435981810092926;0.331819862127304;-0.26946485042572;0.0100250607356429;0.00756898475810885;-0.251481920480728;-0.0224481765180826;0.330633729696274;0.00221248483285308;-0.0233223475515842;0.00801757257431746;0.711989998817444;-0.858198761940002;0.325905472040176;-0.163648813962936;-0.0364320687949657;0.0108746290206909
34;0.3;15.5;5.2;0.4;0.530887170634877;0.905228740518163;0.946060771405554;0.457519846050136;0.861800508884727;1.26604723735001;-0.247797772288322;-0.930051982402802;0.327660858631134;-0.00483265146613121;-0.0941178202629089;0.0100444611161947;-0.0527206286787987;-0.436304986476898;0.332646101713181;-0.260500699281692;0.00811672210693359;0.00703060813248158;-0.252766638994217;-0.0248368792235851;0.331536263227463;0.000586527225095779;-0.0230864342302084;0.00717755407094955;0.695900321006775;-0.863232135772705;0.327075064182281;-0.15964250266552;-0.0363609343767166;0.0106869246810675
