i;T_Z;k_f;k_f_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;1.68508398969454;1.46085632191554;1.23816572753875;0.325771383882263;1.21418463583496;1.25455301518573;-0.185243606567383;-0.639400482177734;0.0129609508439899;0.000701262149959803;-0.00182993803173304;0.00948376394808292;1.06147694587708;0.494264334440231;0.0133960731327534;-0.00442722765728831;-0.00654823798686266;0.00899458955973387;0.735705733299255;0.494598418474197;0.0128581719473004;0.00164420634973794;-0.000529438257217407;0.0102400975301862;1.05030453205109;-0.719868898391724;0.0134509038180113;-0.00610051676630974;-0.00794080272316933;0.00970415025949478
1;0.3;15.5;5.2;0.4;1.68363546581181;1.46078101779653;1.23701384529132;0.32515177991837;1.2142352287187;1.25560917144039;-0.186479806900024;-0.641140997409821;0.0180602520704269;-0.00871826894581318;-0.0140121253207326;0.141050487756729;1.05915153026581;0.491568565368652;0.0199512653052807;-0.0178278349339962;-0.0225878730416298;0.141778975725174;0.73400354385376;0.493139207363129;0.02057134360075;-0.0423373878002167;-0.0116638839244843;0.189933985471725;1.0478481054306;-0.722614049911499;0.0199854616075754;-0.019972175359726;-0.0237087644636631;0.163258045911789
2;0.3;15.5;5.2;0.4;1.68166229812716;1.4540160702067;1.23554499360183;0.334857598100903;1.2140857698722;1.25947624355891;-0.188552707433701;-0.643992245197296;0.0427255257964134;-0.0154157364740968;-0.0232051685452461;0.297494411468506;1.05572879314423;0.487268835306168;0.0458798445761204;-0.0262508932501078;-0.0369296111166477;0.294503062963486;0.720886826515198;0.490504324436188;0.0503344833850861;-0.184991955757141;-0.021636925637722;0.317572176456451;1.04421675205231;-0.726762354373932;0.0460446216166019;-0.0285461060702801;-0.0346587710082531;0.301412343978882
3;0.3;15.5;5.2;0.4;1.67950696606548;1.4357154143515;1.23399568226844;0.362465906186569;1.21381052621474;1.26768884761146;-0.191019028425217;-0.647449612617493;0.0742327123880386;-0.017875986173749;-0.027283838018775;0.306707352399826;1.05189549922943;0.482110977172852;0.0772387161850929;-0.0284275505691767;-0.04220961779356;0.304643154144287;0.68945723772049;0.486587554216385;0.0825833007693291;-0.37247022986412;-0.0390296615660191;0.3023721575737;1.04010117053986;-0.731642246246338;0.0775327682495117;-0.0309518128633499;-0.0392006151378155;0.303134858608246
4;0.3;15.5;5.2;0.4;1.67747232270591;1.40743775599993;1.23251363802668;0.40357506088733;1.21360527040243;1.27776291687079;-0.193482741713524;-0.650997161865234;0.10295595228672;-0.0173703767359257;-0.0272359140217304;0.270003467798233;1.04817795753479;0.476917773485184;0.105699829757214;-0.0265989731997251;-0.0410373397171497;0.270205050706863;0.644612491130829;0.479700595140457;0.107444353401661;-0.553541660308838;-0.0944166034460068;0.258945286273956;1.03605270385742;-0.736626923084259;0.105941906571388;-0.0292734298855066;-0.0386992692947388;0.266208648681641
5;0.3;15.5;5.2;0.4;1.6753345677404;1.3627994744662;1.23110309318536;0.461463085072826;1.21349936414276;1.28641472317403;-0.195708513259888;-0.654284536838532;0.127572521567345;-0.0149167478084564;-0.0242135487496853;0.233886256814003;1.044398188591;0.472161769866943;0.130980730056763;-0.037257693707943;-0.0370731353759766;0.24995619058609;0.58300518989563;0.464119404554367;0.131306111812592;-0.653940677642822;-0.188476949930191;0.23727098107338;1.03231716156006;-0.741277456283569;0.130459263920784;-0.0285630691796541;-0.0344613716006279;0.235434964299202
6;0.3;15.5;5.2;0.4;1.66850678100431;1.31416417485899;1.22864187772238;0.512198683487874;1.21305360201965;1.2898767818299;-0.197659283876419;-0.657229006290436;0.150441467761993;-0.0116995312273502;-0.0195728354156017;0.207109600305557;1.03456854820251;0.467728525400162;0.153960332274437;-0.129320159554482;-0.0357393734157085;0.219753801822662;0.523031949996948;0.441693931818008;0.154388263821602;-0.571780264377594;-0.229628145694733;0.226581007242203;1.02782154083252;-0.745306313037872;0.152024626731873;-0.0443585440516472;-0.0278893504291773;0.205077826976776
7;0.3;15.5;5.2;0.4;1.65215984367961;1.27397294035098;1.22365203697401;0.536113655821121;1.21175907916899;1.28765050264083;-0.199246317148209;-0.659584641456604;0.169574528932571;-0.00885351747274399;-0.0146326189860702;0.179154708981514;1.01288664340973;0.463075518608093;0.172943830490112;-0.255379438400269;-0.0398677885532379;0.177001819014549;0.478579670190811;0.419099271297455;0.174440667033196;-0.39642059803009;-0.21282234787941;0.179839491844177;1.02115964889526;-0.748655319213867;0.170733600854874;-0.0693570077419281;-0.0213785246014595;0.177688434720039
8;0.3;15.5;5.2;0.4;1.62592862674046;1.24761875011677;1.21582131818121;0.528620216239769;1.20952140290772;1.28069947904884;-0.200581565499306;-0.661444067955017;0.185979351401329;-0.00660531036555767;-0.0099034383893013;0.155217334628105;0.978979766368866;0.457608640193939;0.188493102788925;-0.373382419347763;-0.0497588068246841;0.147537395358086;0.453395307064056;0.401037365198135;0.189732104539871;-0.203780323266983;-0.155962854623795;0.136614292860031;1.01190257072449;-0.751464605331421;0.187145486474037;-0.0949106141924858;-0.0165883265435696;0.155784502625465
9;0.3;15.5;5.2;0.4;1.59211322867793;1.23615101589876;1.20567821229316;0.494181411979925;1.2065847209222;1.27173964807197;-0.201760157942772;-0.662907779216766;0.20042909681797;-0.00528665538877249;-0.00629360135644674;0.138098657131195;0.935918569564819;0.450874805450439;0.202248871326447;-0.455521434545517;-0.06277696788311;0.132081896066666;0.445468544960022;0.390260934829712;0.202514946460724;-0.0467911995947361;-0.0830771178007126;0.124510914087296;1.00047338008881;-0.75398176908493;0.201788365840912;-0.113956458866596;-0.0141370315104723;0.13836207985878
10;0.3;15.5;5.2;0.4;1.55436884561507;1.2360783834409;1.19422151149258;0.443540106183755;1.20344489849214;1.26385581165355;-0.202841937541962;-0.66411280632019;0.212399780750275;-0.00502096908167005;-0.00454439362511039;0.125373348593712;0.888307452201843;0.442890137434006;0.214975103735924;-0.492294311523438;-0.0739556029438973;0.120952375233173;0.448364585638046;0.386515498161316;0.215060174465179;0.0478161722421646;-0.0156242996454239;0.122591905295849;0.987805664539337;-0.756434559822083;0.215047627687454;-0.123083665966988;-0.0134283155202866;0.12462268024683
11;0.3;15.5;5.2;0.4;1.51652164488045;1.24270732143145;1.18263768543201;0.387950026140885;1.20066206974326;1.25924411070633;-0.203974157571793;-0.665297448635101;0.22451975941658;-0.00499399146065116;-0.00370367616415024;0.114642418920994;0.840534687042236;0.434174776077271;0.226614236831665;-0.488381117582321;-0.0788801163434982;0.108428463339806;0.455330848693848;0.388096302747726;0.227538913488388;0.080751046538353;0.0324301794171333;0.118432618677616;0.97495037317276;-0.758939564228058;0.227083101868629;-0.122187286615372;-0.0134871853515506;0.111649438738823
12;0.3;15.5;5.2;0.4;1.48084717240618;1.25136648210344;1.17176180380976;0.335895262021101;1.19817526362768;1.2583436325296;-0.205137759447098;-0.666513860225678;0.235847935080528;-0.00517765339463949;-0.00383015698753297;0.105191729962826;0.795656859874725;0.424961507320404;0.237624362111092;-0.460186541080475;-0.0958461910486221;0.111985169351101;0.461322963237762;0.392612278461456;0.239191815257072;0.0706999972462654;0.0574967451393604;0.10611516982317;0.962767541408539;-0.761502981185913;0.237894177436829;-0.114035442471504;-0.0133455861359835;0.0997758656740189
13;0.3;15.5;5.2;0.4;1.4410084095304;1.25889029134764;1.16200907099843;0.290491166916587;1.18716434391944;1.26036012357819;-0.206352472305298;-0.667828738689423;0.246852472424507;-0.00523536372929812;-0.00428373925387859;0.0960689783096314;0.753976225852966;0.406542718410492;0.248918160796165;-0.428026467561722;-0.240022242069244;0.108083710074425;0.463611215353012;0.39798241853714;0.249311909079552;0.0350355058908463;0.063674122095108;0.0912628024816513;0.951666235923767;-0.76404595375061;0.247566819190979;-0.103395529091358;-0.0124048767611384;0.0892828032374382
14;0.3;15.5;5.2;0.4;1.39277840676772;1.26295375192421;1.15331217371095;0.261638587083732;1.15763505151863;1.26424722477815;-0.207577899098396;-0.66925060749054;0.256456106901169;-0.00512348394840956;-0.00496101379394531;0.0844700857996941;0.719954013824463;0.36974710226059;0.258167266845703;-0.323643267154694;-0.433285087347031;0.0713627934455872;0.460386902093887;0.402605354785919;0.259088337421417;-0.0381331890821457;0.052872221916914;0.106119200587273;0.941629767417908;-0.766465365886688;0.256247013807297;-0.0934372842311859;-0.0106206387281418;0.080344133079052
15;0.3;15.5;5.2;0.4;1.33848999592931;1.25786946239507;1.14537182192512;0.271870706853557;1.10687852207831;1.27191972960882;-0.208764344453812;-0.670776426792145;0.264478832483292;-0.0047517754137516;-0.00652713049203157;0.0738448649644852;0.698598921298981;0.31321918964386;0.263244986534119;-0.186049178242683;-0.636740744113922;0.0380793958902359;0.442764163017273;0.405209720134735;0.26876950263977;-0.246827006340027;0.0298831667751074;0.0717459470033646;0.932415366172791;-0.768681883811951;0.26409974694252;-0.0861376523971558;-0.00829788204282522;0.0733820647001267
16;0.3;15.5;5.2;0.4;1.27950759358873;1.23779078842985;1.13778332859089;0.337381771760554;1.03398240412619;1.28818393861682;-0.209896147251129;-0.672647714614868;0.271541833877563;-0.00450581172481179;-0.0114220017567277;0.0659975558519363;0.690289497375488;0.236640736460686;0.266325503587723;-0.0552882179617882;-0.847674071788788;0.022543802857399;0.39819261431694;0.405477553606033;0.273053079843521;-0.547710120677948;0.00483484426513314;0.0135002285242081;0.923657596111298;-0.770662069320679;0.271176695823669;-0.0822449922561646;-0.00588558567687869;0.0656553059816361
17;0.3;15.5;5.2;0.4;1.21851274478802;1.20383367807401;1.13013393066802;0.45089005336896;0.941888363032806;1.315714506062;-0.210910201072693;-0.675092279911041;0.277196377515793;-0.00373218441382051;-0.0216250885277987;0.0606265030801296;0.692354619503021;0.142762213945389;0.270180851221085;0.047662116587162;-1.00772321224213;0.0460808724164963;0.324302613735199;0.403222501277924;0.273007988929749;-0.855737149715424;-0.0263878609985113;-0.0103553980588913;0.915024340152741;-0.772427320480347;0.277527034282684;-0.0812355354428291;-0.00384264066815376;0.0591629631817341
18;0.3;15.5;5.2;0.4;1.16424683682647;1.1617903185681;1.12214018027796;0.593579847762388;0.843413461922283;1.35592889537628;-0.211884081363678;-0.6789710521698;0.2831791639328;-0.00287257507443428;-0.0376883000135422;0.0570831671357155;0.700722098350525;0.0439540185034275;0.277704268693924;0.101307757198811;-1.00160181522369;0.0803770869970322;0.224194392561913;0.397872626781464;0.273295074701309;-1.05810976028442;-0.0669381693005562;0.0226350501179695;0.906221568584442;-0.77404123544693;0.283459514379501;-0.0852648615837097;-0.00250613130629063;0.0575431920588017
19;0.3;15.5;5.2;0.4;1.12202548857107;1.12427608942803;1.11279910873876;0.721372210491557;0.760440583253069;1.39641279325121;-0.212771385908127;-0.684705257415772;0.288723975419998;-0.0017134384252131;-0.0579443164169788;0.0512249730527401;0.705232501029968;-0.039561815559864;0.286658138036728;0.0254250578582287;-0.799481153488159;0.073283389210701;0.124151453375816;0.387898921966553;0.279248714447021;-0.964835643768311;-0.124660439789295;0.0678087845444679;0.896308898925781;-0.775605082511902;0.289056152105331;-0.101126730442047;-0.00224501034244895;0.0519018843770027
