i;T_Z;k_f;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;0.5;1.68561479652327;1.46079875085149;1.23864410147945;0.32613613881523;1.21406123748699;1.25411642481562;-0.1844881772995;-0.638525366783142;0.0117077864706516;0.012162409722805;0.0118467081338167;-0.000659960904158652;1.06258356571198;0.495542228221893;0.0117061538621783;0.0125351762399077;0.0121933547779918;-0.000668142456561327;0.73644745349884;0.49541050195694;0.0117097003385425;0.0124353170394897;0.0121016940101981;-0.000668248569127172;1.05157339572907;-0.718469083309174;0.0117074241861701;0.0125182364135981;0.0121643459424376;-0.000658178236335516
1;0.3;0.5;1.68557288181245;1.46062216919069;1.23860590281785;0.326158475805041;1.21406888680545;1.25397589168495;-0.18449878692627;-0.63854968547821;0.0133626442402601;0.0117302471771836;0.0107651986181736;0.0682343989610672;1.06252586841583;0.495507389307022;0.0132727604359388;0.0110225221142173;0.0120484465733171;0.0667559057474136;0.736367523670197;0.495214998722076;0.0138793764635921;0.0101604135707021;0.00428361725062132;0.0826082825660706;1.05152332782745;-0.718511641025543;0.013186396099627;0.0108019653707743;0.0110061392188072;0.0637447014451027
2;0.3;0.5;1.68558593875329;1.45773690318654;1.23804788350445;0.326611560387383;1.21465687685341;1.25122084749964;-0.184686049818993;-0.639108657836914;0.0315158106386662;0.00986095331609249;0.00263284333050251;0.229356169700623;1.06195735931396;0.495386898517609;0.0314063057303429;0.0027666031382978;0.0102008245885372;0.23066209256649;0.735367774963379;0.491598129272461;0.0328975468873978;-0.0036719546187669;-0.0524743013083935;0.252010017633438;1.05076730251312;-0.71921843290329;0.0314081311225891;-0.000256014754995704;-5.42413908988237E-05;0.232025921344757
3;0.3;0.5;1.68544495884119;1.44893983012679;1.23633781671457;0.327928014684448;1.21638569758013;1.24270240944122;-0.185096397995949;-0.640700340270996;0.0571386367082596;0.00777753442525864;-0.00792682077735662;0.242754146456718;1.06031489372253;0.494938433170319;0.0572583340108395;-0.00789769273251295;0.0067345229908824;0.243141949176788;0.732705354690552;0.480489462614059;0.0607674941420555;-0.0198110491037369;-0.129858121275902;0.254771828651428;1.04860544204712;-0.721390902996063;0.0576746389269829;-0.0141083067283034;-0.0153254475444555;0.245677918195724
4;0.3;0.5;1.68507868433579;1.4344268764492;1.23356127951304;0.330451320185319;1.21919273093307;1.22835104783462;-0.185622438788414;-0.643187522888184;0.0776236727833748;0.00690016523003578;-0.0161000955849886;0.188277989625931;1.05771291255951;0.494181096553803;0.0780429020524025;-0.0170551184564829;0.00402414379641414;0.18950642645359;0.728836476802826;0.461957424879074;0.0821260064840317;-0.0297304429113865;-0.197456255555153;0.18206599354744;1.04522633552551;-0.724947690963745;0.0783653631806374;-0.0251457486301661;-0.0282026138156652;0.188310563564301
5;0.3;0.5;1.68440852221703;1.41668255158634;1.23006385356326;0.334271204094691;1.22273993340519;1.21054038988369;-0.186070889234543;-0.646161556243897;0.0926734358072281;0.00782415736466646;-0.0201243609189987;0.150284856557846;1.05443906784058;0.493297576904297;0.0933889374136925;-0.0239547695964575;0.00315500912256539;0.151655942201614;0.724600315093994;0.439042299985886;0.0956995636224747;-0.0287488233298063;-0.237590253353119;0.138354048132896;1.041175365448;-0.729370415210724;0.0931683257222176;-0.0310165006667376;-0.0360144264996052;0.148842141032219
6;0.3;0.5;1.68330520428823;1.39843613042683;1.22621569474595;0.338360956447652;1.22667215912479;1.19130926094263;-0.186287581920624;-0.649201333522797;0.10576593130827;0.0101931281387806;-0.0199148692190647;0.133904322981834;1.05067503452301;0.492481589317322;0.106574013829231;-0.0295022279024124;0.00419145124033093;0.135098427534103;0.721391499042511;0.414632439613342;0.108128115534782;-0.0192205552011728;-0.247584626078606;0.129764124751091;1.03698456287384;-0.734114170074463;0.106039844453335;-0.0315644666552544;-0.0382084734737873;0.13337017595768
7;0.3;0.5;1.68162287401683;1.38253021214556;1.22238614044344;0.341532808968121;1.23063811100467;1.17365899915219;-0.186211511492729;-0.651942610740662;0.118352949619293;0.0132191563025117;-0.0164383016526699;0.126897320151329;1.04648900032043;0.49186897277832;0.119353115558624;-0.0341239273548126;0.00643265247344971;0.127448976039886;0.71977174282074;0.392367750406265;0.120194315910339;-0.00375664350576699;-0.236943364143372;0.127023473381996;1.03309226036072;-0.738696217536926;0.118735626339912;-0.0280317198485136;-0.0357092395424843;0.127684816718102
8;0.3;0.5;1.67930702185236;1.367478273787;1.21878408716173;0.344340747056471;1.23435494700591;1.15587817103431;-0.185852408409119;-0.654212892055512;0.130631610751152;0.0158660896122456;-0.011443080380559;0.11820861697197;1.04191184043884;0.491503924131393;0.131727769970894;-0.0384983569383621;0.00912540685385466;0.119080141186714;0.719466865062714;0.370674341917038;0.132897436618805;0.0107984459027648;-0.205491378903389;0.11494142562151;1.02970862388611;-0.742790699005127;0.13114920258522;-0.022960864007473;-0.0303056314587593;0.118913419544697
9;0.3;0.5;1.6764181503037;1.35599304723602;1.21548038750216;0.345446415442865;1.23770085393427;1.141431284601;-0.185293957591057;-0.655995845794678;0.142180949449539;0.0177527349442244;-0.00655560102313757;0.109265424311161;1.03695595264435;0.491385072469711;0.143258541822433;-0.0423000454902649;0.0116735389456153;0.10827499628067;0.720335423946381;0.353237807750702;0.144174247980118;0.0197433717548847;-0.167598187923431;0.104337871074677;1.02682912349701;-0.746274352073669;0.142720878124237;-0.0182513929903507;-0.0241372622549534;0.109075054526329
