i;T_Z;k_f;k_f_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;1.68571137499195;1.46090302298629;1.23870064249311;0.32612898455329;1.21406555635806;1.25412131893841;-0.184466689825058;-0.63851934671402;0.0116605246439576;0.012681488879025;0.0122844958677888;-0.000956383591983467;1.0626722574234;0.495617896318436;0.0116515615954995;0.0132420193403959;0.0128511982038617;-0.00100215058773756;0.736543297767639;0.495490461587906;0.011661084368825;0.0126913953572512;0.0122963106259704;-0.000958876917138696;1.05165576934814;-0.718397676944733;0.0116517543792725;0.013200175948441;0.0128192296251655;-0.00100288703106344
1;0.3;15.5;5.2;0.4;1.68569277814987;1.46072535987096;1.23869925844586;0.326547265157898;1.21405994739144;1.25435430782027;-0.184538573026657;-0.638571679592133;0.0138635383918881;0.010385736823082;0.0107725542038679;0.0811425521969795;1.06259095668793;0.495548278093338;0.014278769493103;0.0108444420620799;0.0109546091407537;0.0883356779813767;0.736043691635132;0.495556563138962;0.0153112858533859;-0.0105245355516672;0.0119391735643148;0.118538796901703;1.05158174037933;-0.718461751937866;0.0142823159694672;0.0107094822451472;0.010794191621244;0.0885097458958626
2;0.3;15.5;5.2;0.4;1.6855563821061;1.45410741167709;1.23859115840111;0.336975827341944;1.21410182955642;1.25713672822443;-0.185323670506477;-0.639281511306763;0.0328498966991901;-0.000581681379117072;0.000114613212645054;0.237120047211647;1.06172180175781;0.494728147983551;0.0340666435658932;-0.000440548988990486;-0.000468323705717921;0.2376659065485;0.724745988845825;0.494826763868332;0.0417895913124085;-0.173864603042603;-0.00358299212530255;0.305564671754837;1.05067849159241;-0.719323456287384;0.0342796295881271;-0.00111028586979955;-0.00121661787852645;0.239558815956116
3;0.3;15.5;5.2;0.4;1.68536318770212;1.43586983754927;1.23840526061393;0.364986717659537;1.21422524061807;1.26395875688626;-0.18744820356369;-0.641337990760803;0.0582790151238442;-0.0138043025508523;-0.013940142467618;0.24014151096344;1.05949950218201;0.492492020130158;0.0595628023147583;-0.0137053476646543;-0.0147984987124801;0.235803887248039;0.694513559341431;0.491739958524704;0.0718768164515495;-0.347205460071564;-0.0316054075956345;0.263950318098068;1.04834806919098;-0.721682012081146;0.0596539862453938;-0.0149633837863803;-0.0162247885018587;0.235517039895058
4;0.3;15.5;5.2;0.4;1.68517612866274;1.40233521642287;1.23817484921622;0.411515336019026;1.21440139405007;1.27163073137085;-0.190721467137337;-0.644676923751831;0.0787714347243309;-0.0244612414389849;-0.0262173023074865;0.18659533560276;1.05613052845001;0.488980293273926;0.079140268266201;-0.0244616307318211;-0.0270072557032108;0.181703954935074;0.644680202007294;0.481665879487991;0.0900169089436531;-0.559120118618012;-0.132859691977501;0.155896037817001;1.04482126235962;-0.725368440151215;0.0792801529169083;-0.0262105260044336;-0.0289665777236223;0.181591153144836
5;0.3;15.5;5.2;0.4;1.68471888131091;1.34578858562318;1.237761202204;0.47690568441058;1.21461344330685;1.2723987164498;-0.19471101462841;-0.64892590045929;0.0943071469664574;-0.0307830534875393;-0.0345178432762623;0.151046276092529;1.05164742469788;0.484594434499741;0.0948690995573998;-0.0507526695728302;-0.0364977978169918;0.176755964756012;0.575689911842346;0.454536527395248;0.0983385667204857;-0.740854322910309;-0.329891920089722;0.067385770380497;1.04039430618286;-0.729966878890991;0.0945165231823921;-0.0390021167695522;-0.0373270325362682;0.158936768770218
6;0.3;15.5;5.2;0.4;1.67916612236654;1.27675584919619;1.23574775663854;0.541013705832061;1.21433767306815;1.26421439989639;-0.198962062597275;-0.653641521930695;0.107801780104637;-0.0324366688728333;-0.0381985753774643;0.135436952114105;1.04034173488617;0.479374349117279;0.112715721130371;-0.151464402675629;-0.0469936393201351;0.177854299545288;0.503475368022919;0.412513792514801;0.105936989188194;-0.710803985595703;-0.441071003675461;0.0837864652276039;1.03410804271698;-0.734947323799133;0.109045997262001;-0.063362792134285;-0.0407943762838841;0.145712822675705
7;0.3;15.5;5.2;0.4;1.66356678573864;1.21732461100996;1.2308394042928;0.576025483503608;1.21284972518761;1.24903452246755;-0.203082993626595;-0.65840345621109;0.120658546686172;-0.0306527446955442;-0.0378688611090183;0.127218082547188;1.01663959026337;0.472848623991013;0.127573013305664;-0.281968116760254;-0.0632399171590805;0.129028677940369;0.45007935166359;0.368854135274887;0.119634598493576;-0.498191565275192;-0.430108934640884;0.153881996870041;1.0250506401062;-0.739971935749054;0.122089304029942;-0.0930232480168343;-0.0409818068146706;0.126130506396294
8;0.3;15.5;5.2;0.4;1.63725303629721;1.17859299097057;1.22274572375457;0.573610648337296;1.20974917883202;1.23025162648965;-0.206870213150978;-0.66291618347168;0.132761210203171;-0.0272231809794903;-0.0348907262086868;0.116251267492771;0.980428457260132;0.464434415102005;0.137641906738281;-0.403509646654129;-0.0847810357809067;0.0922460407018662;0.421850353479385;0.333974927663803;0.135363310575485;-0.262422114610672;-0.332285791635513;0.1402627825737;1.01312577724457;-0.744872808456421;0.13371929526329;-0.120590507984161;-0.0398126356303692;0.11143621057272
9;0.3;15.5;5.2;0.4;1.6024923394235;1.16075654057242;1.21220553658962;0.540617432347335;1.20527029707988;1.2126034590396;-0.210265144705772;-0.667027473449707;0.143926918506622;-0.0233036801218986;-0.0305545162409544;0.106302581727505;0.934937477111816;0.453906357288361;0.146390467882156;-0.486002445220947;-0.106392197310925;0.0912583321332932;0.413267403841019;0.312034785747528;0.146436154842377;-0.0750361159443855;-0.201117649674416;0.0995784997940064;0.999121129512787;-0.7496537566185;0.144392609596252;-0.138821631669998;-0.0390359088778496;0.103406980633736
10;0.3;15.5;5.2;0.4;1.5633288283259;1.15974251213063;1.20046938417881;0.488569974850624;1.20010224157274;1.20005093856967;-0.213316470384598;-0.670702874660492;0.154133290052414;-0.020101772621274;-0.0260361023247242;0.0961556732654572;0.885203957557678;0.441614478826523;0.156538754701614;-0.518878757953644;-0.122447311878204;0.102248542010784;0.416715174913406;0.302982300519943;0.155107900500298;0.0428411848843098;-0.0724149644374847;0.088866762816906;0.984232008457184;-0.754395067691803;0.154538244009018;-0.145107105374336;-0.0383492782711983;0.0969049111008644
11;0.3;15.5;5.2;0.4;1.52394398498019;1.16896181122531;1.18879803760219;0.430056688918232;1.19499800810264;1.19458184088755;-0.216119036078453;-0.673973381519318;0.163442924618721;-0.0175934694707394;-0.0217104889452457;0.087497666478157;0.836031556129456;0.428471356630325;0.166886419057846;-0.505328834056854;-0.128225311636925;0.0920650288462639;0.4244205057621;0.303871601819992;0.163995996117592;0.085865393280983;0.0256072338670492;0.090205542743206;0.969631910324097;-0.759034931659699;0.164027586579323;-0.139662191271782;-0.036283828318119;0.0887987837195396
12;0.3;15.5;5.2;0.4;1.48723996536669;1.1813410892241;1.17823379145768;0.375372507115555;1.19050889649971;1.19564706220816;-0.218745231628418;-0.676894903182983;0.172007232904434;-0.0158255770802498;-0.0181325562298298;0.080708920955658;0.790481925010681;0.415507614612579;0.175301671028137;-0.463187515735626;-0.122676968574524;0.0733231082558632;0.43016505241394;0.310263752937317;0.173057734966278;0.070633627474308;0.0798021331429482;0.0887632444500923;0.956309020519257;-0.763395607471466;0.172523081302643;-0.126225054264069;-0.032822422683239;0.0797104164958
13;0.3;15.5;5.2;0.4;1.45479675112721;1.1917783021193;1.16902343574309;0.330475854104342;1.1868860893081;1.20076948875404;-0.22126941382885;-0.679571330547333;0.180019244551659;-0.0148918032646179;-0.015701811760664;0.0760384649038315;0.750057458877564;0.403460383415222;0.181760311126709;-0.420640856027603;-0.135121658444405;0.0702549517154694;0.430828779935837;0.317977398633957;0.181513577699661;0.0256573557853699;0.0935390293598175;0.0799505487084389;0.944450199604034;-0.767398297786713;0.180361837148666;-0.111244268715382;-0.0286192670464516;0.0746875107288361
14;0.3;15.5;5.2;0.4;1.41556560410413;1.19794309424486;1.16100584091407;0.289942870450003;1.17390854871472;1.20713829639369;-0.223765179514885;-0.682121276855469;0.187499061226845;-0.0145854745060205;-0.0142726534977555;0.0703675597906113;0.71040141582489;0.381438195705414;0.191430047154427;-0.427501082420349;-0.309950679540634;0.0968235582113266;0.426167130470276;0.324186652898788;0.188926577568054;-0.0236303247511387;0.0790365412831306;0.0699423104524612;0.933832824230194;-0.771011233329773;0.187684148550034;-0.0988001227378845;-0.024252662435174;0.068358801305294
15;0.3;15.5;5.2;0.4;1.35921126295808;1.19910507800791;1.15373747628671;0.255774369574491;1.13747784425443;1.21286521282778;-0.226251542568207;-0.684618532657623;0.194409877061844;-0.0144023634493351;-0.0138420294970274;0.0668701305985451;0.67247873544693;0.335057467222214;0.200385987758636;-0.364118754863739;-0.582179009914398;0.0629579424858093;0.416817039251328;0.32746633887291;0.196900114417076;-0.0831298977136612;0.0492145642638207;0.095679871737957;0.923997938632965;-0.774263918399811;0.19446325302124;-0.0907701849937439;-0.0202225670218468;0.0650331825017929
16;0.3;15.5;5.2;0.4;1.28817481051348;1.19095818753883;1.14682221788349;0.258452351686423;1.07239983341505;1.22135447669302;-0.228731229901314;-0.687237679958344;0.201104655861855;-0.0143200950697064;-0.016459034755826;0.0660291761159897;0.643759667873383;0.260472178459167;0.203557685017586;-0.243796989321709;-0.861698627471924;0.0106427222490311;0.394230723381042;0.327799171209335;0.207997158169746;-0.297343343496323;0.0170202143490314;0.0927731916308403;0.914559066295624;-0.777173757553101;0.200879707932472;-0.0873863995075226;-0.0167173463851213;0.0614832639694214
17;0.3;15.5;5.2;0.4;1.21035757177149;1.16945077791963;1.13982383842636;0.325388988863942;0.981793485288164;1.2387659792223;-0.231201276183128;-0.690434515476227;0.207521438598633;-0.0139545742422342;-0.0241723619401455;0.0614053308963776;0.627992749214172;0.162062451243401;0.204651460051537;-0.101712964475155;-1.08464109897614;0.0126101076602936;0.346973478794098;0.326093435287476;0.213595241308212;-0.550656497478485;-0.00600412115454674;0.0300451815128326;0.905113160610199;-0.779809474945068;0.206798002123833;-0.0871352478861809;-0.013816119171679;0.056834202259779
